Disease,Description,Specialist
Fungal Infection,"Fungal infections are caused by fungi, which are organisms that can live on the skin or inside the body.","Infectious Disease Specialist,Dermatologist"
Allergy,"An allergy is an abnormal immune response to a substance (allergen) that is typically harmless to most people. Common allergens include pollen, dust mites, pet dander, certain foods (e.g., peanuts, shellfish), insect stings, and certain medications. ","Allergist,Immunologist"
Gerd,"GERD, or gastroesophageal reflux disease, is a chronic condition where stomach acid and occasionally stomach contents flow back (reflux) into the esophagus, causing irritation. This reflux occurs due to a weakened or dysfunctional lower esophageal sphincter (LES), which normally acts as a barrier between the stomach and the esophagus.",Gastroenterologist
Chronic Cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,Gastroenterologist
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"Allergist,Immunologist"
Peptic Ulcer Diseae,Peptic ulcer disease refers to painful sores or ulcers that develop on the inner lining of the stomach (gastric ulcers) or the upper part of the small intestine (duodenal ulcers). ,Gastroenterologist
Hypercalcemia,"Hypercalcemia is a condition characterized by abnormally high levels of calcium in the blood. Calcium plays a vital role in various physiological processes, including bone health, muscle function, nerve signaling, and hormone secretion.","Endocrinologist,Nephrologist"
Diabetes,"Diabetes mellitus, commonly referred to as diabetes, is a chronic metabolic disorder characterized by high blood sugar levels over a prolonged period",Endocrinologist
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.",Gastroenterologist
Insomnia,"Insomnia is a sleep disorder characterized by difficulty falling asleep, staying asleep, or waking up too early, leading to daytime fatigue, irritability, and impaired concentration.","Neurologist,Psychologist,Sleep Specialist"
Peripheral Nerve Injuries,"Peripheral nerve injuries refer to damage to the nerves outside of the brain and spinal cord, which make up the peripheral nervous system.","Neurologist,Neurosurgeon."
Migraine,"Migraine is a neurological condition characterized by recurrent, severe headaches often accompanied by symptoms such as nausea, vomiting, sensitivity to light and sound, and visual disturbances (aura). ","Neurologist,Family Doctor"
Cervical Spondylosis,"Cervical spondylosis, also known as cervical osteoarthritis or neck arthritis, is a common age-related condition that affects the joints and discs in the neck. It occurs due to wear and tear of the cartilage and bones in the cervical spine (neck region) over time.","Orthopedic Surgeon,Neurologist"
Paralysis (Brain Hemorrhage),"A brain hemorrhage, also known as intracerebral hemorrhage, occurs when there is bleeding within the brain tissue itself. This bleeding can result from various causes, such as high blood pressure (hypertension), trauma, arteriovenous malformations (AVMs), aneurysms, or blood clotting disorders.","Neurologist,Neurosurgeon,Neurointensivist"
